Employee ID,Full Name,DoB,Year of birth,Month of birth,date of birth,Gender,Age,Area Code,Full Adress,House Number,Email,Email domain,Last 4 digit of SSN, Income Level,DMV Area Employee,Doctor,Doctot Speciality,Pharmacy Personnel,General Employee,Year recruited,Experiance year in the organization,Emp Type,Old Salary,Net pay from old salary,Proposed new salary,Net pay from new salary
EMP02,"Lewis, Mark",9/12/1972,1972,9,12,M,49,202,4080 Marshall Street 800 Washington DC 20021,4080,mark@gmail.com,gmail.com,2222,Middle,YES,NO,Not Applicable,YES,NO,2018,3,C,90000,66666.67,95400,70666.67
EMP03,"Price, Dennis",10/9/1973,1973,10,9,F,48,570,1331 Edsel Road L21 Woodbridge VA 20321,1331,kathe@gmail.com,gmail.com,3333,Middle,YES,NO,Not Applicable,NO,YES,2016,5,M,89800,66518.52,95188,70509.63
EMP04,"Iversen, Robert",7/1/1974,1974,7,1,M,47,301,786 Eagle Lane 234 Columbia MD 20990,786,rob@yahoo.com,yahoo.com,4444,High,YES,YES,Intenal Medicine,NO,NO,2017,4,P,100000,74074.07,106000,78518.52
EMP05,"Seiler, Rosie",3/7/1975,1975,3,7,F,46,332,123 Ky St 698 Bethesda MD 20871,123,rosie@yahoo.com,yahoo.com,5555,Middle,YES,NO,Not Applicable,NO,YES,2016,5,A,79300,58740.74,84058,62265.19
EMP06,"Kepa, Emmanuel",9/15/1985,1985,9,15,M,36,222,5 Poe Lane 832 Washington DC 20021,5,emma@gmail.com,gmail.com,6666,Middle,YES,NO,Not Applicable,YES,NO,2018,3,A,89800,66518.52,95188,70509.63
EMP07,"Neftalem, Takele",11/3/1986,1986,11,3,M,35,703,1378 Gateway Road 823 Alexandia VA 20321,1378,dennisned@gmail.com,gmail.com,7777,High,YES,NO,Not Applicable,NO,YES,2015,6,A,100100,74148.15,106106,78597.04
EMP08,"Porter, Liang",1/1/1987,1987,1,1,M,34,249,825 Victoria Street 109 Columbia MD 20990,825,lian@yahoo.com,yahoo.com,8888,Middle,YES,NO,Not Applicable,YES,NO,2017,4,P,78000,57777.78,82680,61244.44
EMP09,"Kathrin, Sarah",3/18/1988,1988,3,18,F,33,191,1389 Finwood Road 007 Germantown MD 20871,1389,rosie@yahoo.fr,yahoo.fr,9999,High,YES,NO,Not Applicable,NO,YES,2014,7,P,90800,67259.26,96248,71294.81
EMP10,"Rasmussen, Christopher",3/23/1989,1989,3,23,M,32,320,3520 Nash Street 002 Washington DC 20021,3520,chris@gmail.com,gmail.com,0,Middle,YES,YES,Infectious Disease,YES,NO,2018,3,C,62000,45925.93,65720,48681.48
EMP11,"Kumar, Ruth",11/24/1990,1990,11,24,F,31,521,4656 Byrd Lane L21 Arlington VA 20321,4656,ruth@gmail.com,gmail.com,1122,High,YES,NO,Not Applicable,NO,YES,2019,2,A,90200,66814.81,95612,70823.7
EMP12,"Xu, Stefan",9/1/1990,1990,9,1,M,31,260,3583 Stadium Drive 100 Beltsville MD 20990,3583,stef@yahoo.com,yahoo.com,2233,Middle,YES,YES,Family medicine,NO,NO,2013,8,M,68000,50370.37,72080,53392.59
EMP13,"Seiler, Jessamine",11/28/1982,1982,11,28,F,39,101,1337 Havanna Street 498 Clarksburg MD 20871,1337,jes@yahoo.co.uk,yahoo.co.uk,3344,High,YES,YES,Infection,NO,NO,2018,3,M,90200,66814.81,95612,70823.7
EMP14,"Kepa, Enza",9/30/1990,1990,9,30,F,31,511,2780 Irish Lane  Washington DC 20021,2780,enz@gmail.com,gmail.com,4455,Middle,YES,NO,Not Applicable,NO,YES,2011,10,C,85300,63185.19,90418,66976.3
